"fromId","toId","type"
"468","380","DECOMPOSED_FROM"
"696","380","DECOMPOSED_FROM"
"469","380","DECOMPOSED_FROM"
"466","380","DECOMPOSED_FROM"
"457","380","DECOMPOSED_FROM"
"472","380","DECOMPOSED_FROM"
"474","380","DECOMPOSED_FROM"
"463","380","DECOMPOSED_FROM"
"459","380","DECOMPOSED_FROM"
"694","380","DECOMPOSED_FROM"
"467","380","DECOMPOSED_FROM"
"461","380","DECOMPOSED_FROM"
"454","380","DECOMPOSED_FROM"
"698","380","DECOMPOSED_FROM"
"455","380","DECOMPOSED_FROM"
"464","380","DECOMPOSED_FROM"
"692","380","DECOMPOSED_FROM"
"453","380","DECOMPOSED_FROM"
"465","380","DECOMPOSED_FROM"
"699","380","DECOMPOSED_FROM"
"470","380","DECOMPOSED_FROM"
"693","380","DECOMPOSED_FROM"
"695","380","DECOMPOSED_FROM"
"473","380","DECOMPOSED_FROM"
"703","381","DECOMPOSED_FROM"
"447","381","DECOMPOSED_FROM"
"704","381","DECOMPOSED_FROM"
"448","381","DECOMPOSED_FROM"
"688","381","DECOMPOSED_FROM"
"707","381","DECOMPOSED_FROM"
"441","381","DECOMPOSED_FROM"
"705","381","DECOMPOSED_FROM"
"722","383","DECOMPOSED_FROM"
"510","383","DECOMPOSED_FROM"
"721","383","DECOMPOSED_FROM"
"508","383","DECOMPOSED_FROM"
"517","383","DECOMPOSED_FROM"
"726","383","DECOMPOSED_FROM"
"512","383","DECOMPOSED_FROM"
"513","383","DECOMPOSED_FROM"
"671","383","DECOMPOSED_FROM"
"515","383","DECOMPOSED_FROM"
"719","383","DECOMPOSED_FROM"
"720","383","DECOMPOSED_FROM"
"723","383","DECOMPOSED_FROM"
"716","383","DECOMPOSED_FROM"
"514","383","DECOMPOSED_FROM"
"516","383","DECOMPOSED_FROM"
"717","383","DECOMPOSED_FROM"
"729","383","DECOMPOSED_FROM"
"718","383","DECOMPOSED_FROM"
"519","383","DECOMPOSED_FROM"
"509","383","DECOMPOSED_FROM"
"728","383","DECOMPOSED_FROM"
"727","383","DECOMPOSED_FROM"
"724","383","DECOMPOSED_FROM"
"725","383","DECOMPOSED_FROM"
"511","383","DECOMPOSED_FROM"
"368","385","DECOMPOSED_FROM"
"522","706","DECOMPOSED_FROM"
